Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Day,Material_Brass,Material_Bronze,Material_Clay,Material_Marble,Material_Stone,Material_Unknown,Material_Wood,International_Yes,Express Shipment_Yes,Installation Included_Yes,Transport_Roadways,Transport_Unknown,Transport_Waterways,Fragile_Yes,Customer Information_Working Class,Remote Location_Unknown,Remote Location_Yes,Cost
0.26,17,6,4128,13.91,16.27,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,283.29
0.28,3,3,61,6.83,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,159.96
0.07,8,5,237,4.96,21.18,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,154.29
0.12,9,0,0,5.81,16.31,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,161.16
0.15,17,6,324,3.18,11.94,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,159.23
0.99,46,19,1178,6.16,16.88,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1922.78
0.64,17,9,7264,8.26,90.67,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1536.66
0.74,23,10,3287,12.81,13.25,4,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,422.42
0,6,4,108,3.98,19.76,4,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,160.1
0.12,23,9,195226,245.63,49.25,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,834.27
0.14,47,25,40834,37.22,85.09,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,652.66
0.29,32,9,0,1800.96,56.04,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4106.98
0.26,13,6,1534,5.87,20.72,-2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,190.08
0.54,26,9,0,6.47,17.55,-1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,334.98
0.69,21,6,3954,14.03,16.43,-3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,359.72
0.72,44,12,4991242,29625.6,84.38,-2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,88316.02
0.27,10,4,11909,29.47,28.18,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,329.2
0.1,37,9,239463,771.98,64.64,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1924.3
0.11,19,14,7976,7.1,82.84,-4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,425.64
0.54,0,0,65103,165.05,86.65,-2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1354.11
0.59,20,9,198,5.56,15.76,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,318.74
0.11,0,9,216919,263.03,46.56,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,708.99
0.66,9,5,184,6.9,10.48,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,244.61
0.57,29,9,745770,3403.92,30.87,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,39680.72
0.43,24,8,261562,1562.1,91.58,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2296.74
0,10,4,174,6.63,19.61,-3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,279.16
0.2,25,9,7901,8.56,93.59,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,547.81
0.47,28,15,985,6.76,19.83,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,371.82
0.51,16,8,63720,151.19,59.22,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1087.36
0.67,17,6,182,6,11.04,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,280.22
0.56,20,8,53954,162.93,99.06,-4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1358.73
0.25,10,4,4900,25.83,18.35,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,358.92
0.31,13,7,449,4.91,24.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,214.15
0.57,6,4,79,4.71,22.24,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,241.48
0.01,0,5,88,6.51,22.49,-3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,128.38
0.68,8,5,301,4.38,20.36,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,280.42
